id,question_id,content
A1101,T1101,從圖中「重新組織」、「用自己的方式說出來」與 「貨真價實的知識」等關鍵詞句可知答案選(D)。
A1102,T1102,(A)杏林之光：通常用於醫院開業的題辭。相傳三國吳人董奉 隱居廬山，為人治病不收錢，只要求治癒者種植杏樹，數 年後竟植成十餘萬株，形成一片杏林。後以「杏林」指醫 學界，故答案選(A)。 (B)近悅遠來：原指施政者得民心，讓遠、近的人心悅誠服， 願意前來歸附。後多用於祝賀商場或餐廳等開業。 (C)眾望所歸：深得眾人擁護、愛戴。通常用於祝賀人競選獲 勝的題辭。 (D)桃李芬芳：形容所培育的後學表現傑出，人才輩出。用於 對教育界或教育人士的褒揚題辭。
A1103,T1103,引文內容敘述原住民服飾受不同文化而產生變化，而引文後半 段則強調原住民服飾融合不同文化而產生「混搭法」，故答案 選(A)。 (B)原住民傳統文化仍被保留在服飾文化之中。 (C)原住民穿著文化受漢人與日本人之影響。 (D)文中未提及透過觀察服飾以了解文化差異。
A1104,T1104,「金文」字體與甲骨文相似，字形結構還沒固定， 象形字還具有圖畫性質。「小篆」的筆畫圓勻、粗 細一致。「隸書」由圓轉綿長的線條演變為平直方 折的筆畫，筆畫尾部有波勢挑法。「楷書」主要在 去掉隸書筆畫尾部挑法，因此筆畫平直，結構方 正。故答案選(B)。
A1105,T1105,從文中關鍵句「賭客難以意識到自己正不斷輸錢」 可知答案選(D)。
A1106,T1106,(A)「東道主」用以泛稱接待或宴請賓客的主人，故法國為主 辦國。(B)從「逆轉」一詞可知我國轉輸為贏。(C)「爆冷門」指在競賽中出乎意料地獲得優勝，由此可知各界原先不看好波多黎各選手奪金，故答案選(C)。(D)從「輕取」兩字可知我國女將「大勝」哥倫比亞。
A1107,T1107,(A)甲處語意尚未完結，應用「，」。 (B)乙處語意尚未完結，應用「，」。 (C)丙處語意已完結，且後面語意有轉變，因此用「。」，故 答案選(C)。 (D)丁處用於表達反詰之語氣，應用「？」。
A1108,T1108,(A)門人並非買錯硯臺，而是自作主張請石匠將硯臺微凸之處 磨平。 (B)陸公惋惜的是硯眼被磨平，而非石匠技藝不佳。 (C)門人不知陸公賞識硯臺的真正原因，因此自作聰明請人磨 平硯眼。故答案選(C)。 (D)陸公是對門人買回的硯臺不具有硯眼而感到驚訝。 出 處：馮夢龍《古今譚概•硯眼》。 語 譯：陸公（陸廬峯）曾在市集上遇到一塊上好的硯臺， 議價但沒有到滿意的價格。已經回到府邸之後，派 遣僕人前往，用一兩銀子把硯臺買回來。僕人拿著 硯臺回來，陸公覺得它不像在市集所看到的硯臺而 感到驚訝。僕人堅持說就是這個硯臺。陸公解釋： 「先前的硯臺有個八哥眼，為什麼現在沒有了？」 僕人回答說：「我嫌這硯眼有一點凸起，路上正好 遇見石匠，就叫他磨平。」陸公感到十分
A1109,T1109,從文中「希望被注意」以及「那些被窺視的人，既 然知道鏡頭在哪裡，是否會有表演的性質呢？」可 知作者認為：網路直播多少帶有表演性質。故答案 選(B)。
A1110,T1110,本文旨在說明名實不副，僥倖騙得了一時，終將原形畢露。 (A)靠著精湛演技成為影帝，未有名實不副的情況。 (B)文中並未探討不勞而獲之財容易被揮霍。 (C)「作弊手段考上名校」屬於「外似而中實不然者」，而「適 應不良而中輟學業」正好呼應「情現實吐，無不立敗」。 故答案選(C)。 (D)文中未探討夢想與現實之間的問題。 出 處：呂祖謙《東萊左氏博議•楚文無畏戮宋公僕》 語 譯：美名是不可以僥倖獲取的。天下的事情，本來就有外 表相似但實際上卻不是如此的。由於外表相似而僥倖 地竊取美名，這樣雖然可以欺騙一時，然而有一天人 們根據他的外表相似而來要求他做出真實的表現 時，那麼就會原形畢露，沒有不立刻敗露真相的。
