id,question_id,content
A0901,T0901,"根據圖表中的敘述，中暑的病徵會「體溫升高超過
40.5℃」，小康「體溫過高」最有可能是中暑，故
答案選(B)。
(A)根據圖表中的敘述，「冒汗」而「體溫正常」是熱衰竭的
病徵。
(C)根據圖表中的敘述，熱衰竭的病徵是「會流汗」、「虛弱
及頭暈、頭痛」，小平「大量流汗」且「虛弱頭暈」因此
有可能是熱衰竭。
(D)小安「心跳加速」但「體溫正常」，並無「體溫升高超過
40.5℃」，不符合中暑的病徵。"
A0902,T0902,"寧可讓學得快的人「等」，也不能讓不會的人「繼
續不會」這句話，強調「有教無類」的教育理念。
教學不能只教會資優生而棄資質不佳的學生於不
顧，而是要教會每一個學生。故答案選(D)。"
A0903,T0903,"題幹用映襯法敘述「龜兔賽跑的精神」:有的跑得
慢的人……「努力不懈直到終點」；有的跑得快的
人……「半路摔倒一蹶不起」。透過對比強調勤能
補拙，只要努力不懈終能抵達終點的精神。故畫線
處應填入「堅持到底的人才是最後的贏家」，故答
案選(D)。"
A0904,T0904,"題幹並無提及「城市松鼠會因環境改變毛色」，故
答案選(A)。"
A0905,T0905,小畢的貼文與阿文、凱哥 的留言，透露了不同的人生觀。小畢認為應「忍小 忿而就大謀」把它轉換為日後成功的基石，這樣的 看法跟小安「隱忍奮進」的觀念比較相近。故答案 選(D)。
A0906,T0906,"(A)「酒後不開車，未免發生事故」，句中「未免」應改為「以
免」。
(C)「他毫無商量餘地，避免不近人情」，句中「避免」應改
用「未免」。
(D)「他決心改正遲到毛病，難免受處罰」，句中「難免」應
改為「以免」。
故答案選(B)。"
A0907,T0907,"爸爸老蘇，大兒子大蘇，二兒子小蘇，客人小秦四
人餐聚。依題幹敘述「面向房門的座位最尊貴」，
四人中老蘇輩分最高，應坐此位。「長輩左手的那
邊是主人位」，今天餐會的主人是大蘇，所以大蘇
應坐在爸爸老蘇的左手邊。長輩的「右手邊是客人
位」，小秦是客人，所以應坐在老蘇的右手邊。「長
輩對面是副陪的位置」，弟弟小蘇是副陪應坐在此
位。故答案選(B)。"
A0908,T0908,"由「真正的生命存在於寫作當中，而非經年累月一
再朗讀同樣的幾首詩」、「我們不斷的需要有新的
洞察與觀點」等敘述，強調創作不應滿足於現況，
應力求突破窠臼，不斷創新。故答案選(B)。"
A0909,T0909,"第一格應使用冒號，總起下文。第二、三格應使用
逗號表示語氣停頓。故答案選(C)。"
A0910,T0910,"題幹「不得有誤」的「得」字跟(A)選項「得過且
過」的「得」字，都解釋為「可以」，故答案選(A)。
(B)契合。
(C)獲得。
(D)快意、滿足。"
