id,year,type,subject,title,description,answer
T1201,112,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,"若要以這段文字的核心概念標示一組關鍵詞,下列何者最恰當?","以下是一則論文摘要:「本文旨在說明臺灣國民小學至大學學生閱讀興趣與閱讀素養的關係,以及不同學齡階段的讀寫素養表現。不論年級,閱讀興趣與閱讀素養有正向關聯,然由一般學生投資於閱讀的時間反映出閱讀興趣有加強之必要。」",D
T1202,112,單題,詞語,下列文句何者有語病?,,D
T1203,112,單題,標點符號,"這段文字中的甲、乙、丙、丁四處,何者最適合使用標點符號中的分號?","「彎曲的生命旅路,常常會被安排與許多人與事錯身而過 甲 有些注定是淡漠的乙 並淪為遺忘 丙 有些則產生強烈衝擊 丁 終至刻骨銘心。」",C
T1204,112,單題,詞語,"下列文句,何者語詞使用最恰當?",,C
T1205,112,單題,字音,"下列選項「」中的字,何組讀音相同?",,D
T1206,112,單題,國學常識（含文字結構與演變),"「齒」的甲骨文字形是□□字,看起來像張口見齒的樣子。小篆字形在上部增加了「止」字,用「止」表示聲音,至此變成了□□字。這段文字的空格處,依序應填入何種造字原則?",,C
T1207,112,單題,現代詩文閱讀單題,"根據這段文字,下列哪一種住宅的特點最符合「建築純粹主義者」的主張?","「上個世代對於永續住宅的普遍想像,總是不出屋頂上鋪滿太陽能板、隨意利用各種回收廢棄物蓋成的缺乏整體感的建築物。許多這類大剌剌表現出『友善地球』的建築物,也因此極易成為建築純粹主義者嘲弄的對象。他們語帶不屑地認為,這簡直是以粗鄙的解決手法打敗了高尚審美觀。」",A
T1208,112,單題,國學常識（含文字結構與演變),據此判斷，下列何者是陽刻隸書章蓋在白紙上顯示出的樣子？,「陰刻」是在平面上刻出凹陷的立體線條，凹陷下去的字是「陰文」。「陽刻」則是在平面上保留凸出的立體線條，將其餘部分刻除，凸出來的字是「陽文」。,A
T1209,112,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,小平欲致贈匾額祝賀下列四個單位，匾額上所使用的題辭何者不恰當？,,A
T1210,112,單題,現代詩文閱讀單題,根據這段文字，作者心情轉變的關鍵最可能是下列何者？,夏七月，赤日停天，亦無風，亦無雲。前後庭赫然如洪爐，無一鳥敢來飛。汗出遍身，縱橫成渠。置飯於前，不可得吃。呼簟欲臥地上，則地濕如膏，蒼蠅又來緣頸附鼻，驅之不去。正莫可如何，忽然疾澍澎湃之聲，如數百萬金鼓。簷溜浩於瀑布。身汗頓收，地燥如掃，蒼蠅盡去，飯便得吃。不亦快哉！」,D
T1211,112,單題,字形、改錯,下列文句，何者用字完全正確？,,C
