id,question_id,content
A1401,T1401,"(A)(B)(C)未提及。
(D)由右圖「務必於三日內繳費，逾期將終止供水」可推知，營造迫切需要採取行動的氛圍，讓受害者做出衝動的決定。
故選【D】
"
A1402,T1402,"(A)由「驗屍一定是在『屍所』，即屍體所在之處，可能是案發現場，也可能是陳屍處」可知，屍體不能從案發現場帶至衙門。
(B)由「同時十分強調涉案人、關係人和家屬必須在場驗屍」可知。
(C)由「一般大眾也可以圍觀」可知，不必將閒雜人等驅離。
(D)由「關係人和家屬必須在場」、「目的在於使驗屍過程中，關於屍傷屍狀的觀察都能夠『公同一干人眾，質對明白』」可知，家屬若在現場要求確認結果，不會斷然拒絕。
故選【B】
"
A1403,T1403,"題幹中的「月」為「獨體文」，形狀外部象月亮的邊緣，內部象陰影，據具體的實象造字，可判斷造字原則是「象形」。
(A)「小」甲骨文用三點或四點以示細小之義，是以抽象符號描繪出觀念，可判斷造字原則是「指事」。
(B)「木」從甲骨文到篆文的形狀，都是上部象樹枝，中部象樹幹，下部象樹根，是據具體的實象造字，可判斷造字原則是「象形」。
(C)「出」可拆分成「止」加「凵」，止的本義為腳掌，此處表示行走、行動；凵為古人掘地而居的半穴居住所，表示出門離去的意思，可判斷造字原則是「會意」。
(D)「汝」可拆分成「水」加「女」，「水」是表示與水相關的形符，「女」是聲符，可判斷造字原則是「形聲」。
故選【B】
"
A1404,T1404,"(A)由「我的快樂除以我的悲傷」可知，悲傷和快樂都存在，悲傷並未過去。
(B)由「我的快樂除以我的悲傷」、「得到的商／卻只是1」可知，快樂和悲傷同樣多，相除的「商」才會等於1。
(C)由「我的快樂除以我的悲傷」、「得到的商／卻只是1」可知，除了悲傷之外，我仍有同等的快樂。
(D)「卻只是1」是指愛情的快樂和悲傷相等，並非指愛情只有一種結果。
故選【B】
"
A1405,T1405,"題幹提及許慎《說文解字》收錄的字體以小篆為主，兼採秦以前的古文字與籀文。
(A)文字特色筆畫平直，字形方正，應為楷書。其約起源於東漢，至曹魏而完備，通行至今。
(B)文字線條圓勻、粗細不一，為籀文，屬秦代以前古文字。
(C)文字線條圓勻、粗細不一，應為秦代以前古文字。
(D)文字筆畫粗細一致、較為整齊，應為篆書，為秦代文字。
故選【A】
"
A1406,T1406,"(A)由圖表下方敘述「專家推測，家庭暴力案件的提高，是因為家庭收入受到影響及行動自由受到限制。而女性仍負擔多數家庭養護責任，在家庭壓力升高的情況下，更容易成為家暴受害者」可知，疫情封城會誘發潛在的家庭暴力。
(B)圖表中並未提及女性遭受家暴願意通報，僅提及各國家暴通報數上升。
(C)由圖表敘述得知，因為家庭壓力上升，女性更容易成為家暴的受害者，而非女性收入與行動受限。
(D)圖表中並未提及政府漠視性別平權。
故選【A】"
A1407,T1407,"(A)甲圖指出「漢語有平、上、去、入四聲，以上、去、入為仄聲」說明如何區別漢語聲調；乙圖並未說明區分漢語的聲調。
(B)甲圖指出「春聯最末字：仄聲貼右邊，平聲貼左邊」；乙圖指出上聯「尾字是仄聲」，下聯「尾字是平聲」。甲、乙圖皆說明對聯末字「仄起平收」的原則。
(C)由甲、乙圖步驟①、②、③皆說明貼的順序為「上聯→下聯→橫批」。
(D)由甲、乙圖步驟①皆說明站在屋外、面向大門的右邊要「先貼上聯」。
故選【B】"
A1408,T1408,"(A)〈小梁州〉為曲牌名，題目為「秋」，引文資料僅有單支曲，為散曲小令。
(B)散曲皆一韻到底，韻腳為：黃、光、藏、盪、香、望、江、漾、行。
(C)「菊花」、「金風」、「桂枝」皆為秋日意象。
(D)以「斜月」、「新雁」呈現秋夜登高望遠，嘆詠西湖之美。
故選【C】
出　　處：元代 貫雲石〈小梁州〉秋
語　　譯：荷花倒映水中，菊花金黃盛開，滿眼都是秋日的景色。白鷺鷥藏身於枯萎的荷葉下。秋風擺動，吹得桂花枝搖曳生香。登上雷峰塔遠眺，眼前展開錢塘江的一片浩瀚長流。湖水清澈，江水蕩漾，天邊斜掛著一彎新月，兩三行新來的大雁斜飛而過。
"
A1409,T1409,"(A)選項顧客的需求為「不想喝含有茶葉的茶」，故符合文中第三種的「純花茶」所提之「成品內沒有茶葉」，而其對應茶種為「菊花茶」及「蓮花茶」。
(B)選項顧客需求為「想在沖泡時看到花瓣」，故符合文中第二種的「成品內有花」及第三種「純花茶」，而其對應茶種為「玫瑰烏龍茶」、「菊花茶」及「蓮花茶」。
(C)選項顧客需求為「送等級最高的花茶」，而文中提到「第一種等級最高」，即符合「成品內沒有花但香氣濃郁」，而其對應茶種為「茉莉花茶」。
(D)選項顧客需求為「自製茉莉香片」，而文中提到香片需「將乾燥後的茶葉與新鮮的香花依比例混合」，即符合店員建議之「可備乾燥茶葉和新鮮茉莉花」。
故選【C】"
A1410,T1410,"(A)「穴蜜多產於乾燥之處」可對應到文中「北方乾燥，土穴所釀多出於此」，故可知穴蜜多產於乾燥之地。
(B)由「蜂造之蜜出山崖、土穴者十居其八」可知崖蜜和穴蜜占了十分之八；而「人家招蜂造釀而割取」的人工養育，僅占十分之二，故可知崖蜜為天然的蜂造之蜜。
(C)從「南方卑溼，故有崖蜜而無穴蜜」，可知卑溼之地有天然的崖蜜。
(D)從「西北半天下，蓋與蔗漿分勝云」，可知西北蜂蜜的產量與蔗漿的產量可分庭抗禮，而非西北蜂蜜產量為東南蔗漿之一半。
故選【A】
出　　處：宋代 宋應星《天工開物‧甘嗜第六‧蜂蜜》
語　　譯：蜜蜂所釀造之蜂蜜，源自山岩、土穴占十分之八，而人們引來蜜蜂釀造蜂蜜並採蜜的，占十分之二。北方氣候乾燥，土穴所釀蜂蜜大多出於這裡。南方地勢低且溼氣重，所以有出產自崖壁上的蜂蜜，但沒有出產自土穴中的蜂蜜。西北地區的蜂蜜產量，占了天下一半，可與蔗糖爭高下。
"
