id,question_id,選項A,選項B,選項C,選項D
S1401,T1401,①,②,③　,④
S1402,T1402,將屍體從案發現場帶至衙門驗屍,官府開始驗屍時，家屬必須到場,驗屍時將一干閒雜人等驅離現場,家屬要求確認結果，被斷然拒絕
S1403,T1403,小,木,出,汝
S1404,T1404,悲傷會過去，快樂會留下,我的快樂等同於我的悲傷,除了悲傷之外，我一無所有,每個人的愛情都只有一種結果
S1405,T1405,,,,
S1406,T1406,因疫情而封城，易誘發潛在的家庭暴力,疫情期間女性受家暴後通報的意願較高,家庭壓力上升造成女性收入與行動受限,過度關注疫情，導致政府漠視性別平權
S1407,T1407,皆指出如何區分漢語的聲調,皆指出對聯「仄起平收」的原則,皆說明貼的順序為上聯→橫批→下聯,(D)皆說明站在屋外、面向大門的右邊要貼下聯
S1408,T1408,題目為〈小梁州〉，是散曲中的小令,在曲作的中間換韻，不是一韻到底,以「菊花」、「金風」、「桂枝」呼應「秋」,以「斜月」、「新雁」象徵世間繁華轉眼成空
S1409,T1409,顧客的需求:不想喝含有茶葉的茶 店員的建議:可選菊花茶,顧客的需求:想在沖泡時看到花瓣 店員的建議:可買蓮花茶,顧客的需求:想送等級最高的花茶給客戶 店員的建議:可送玫瑰烏龍茶,顧客的需求:想自製茉莉香片 店員的建議:可備乾燥茶葉和新鮮茉莉花
S1410,T1410,穴蜜多產於乾燥之處,崖蜜多為人工養育而來,卑溼之地沒有天然的蜂造之蜜,西北蜂蜜產量是東南蔗漿的一半
S1411,T1411,真正優秀的作品，經得起時間的考驗,要寫出一篇好遊記，作者比編輯更重要,成為傑出的編輯，需要時間與經驗的累積,經過時間的沉澱，自然能釐清值得寫的是什麼
S1412,T1412,甲,乙,丙,丁
S1413,T1413,他奮力救人的義舉，淪為一段佳話,我如此盡心，既然得到這樣的待遇,此建案已延宕多時，如今終於竣工,那件事能夠完成，不愧有你的幫忙
S1414,T1414,有些玩笑話沒拿捏好分寸，就可能變成「揶」揄：ㄧㄝˊ,這家賣場備有各種「晾」晒工具，提供消費者選購：ㄐㄧㄥ,這齣音樂劇結合不同族群的元素，打破文化的「藩」籬：ㄆㄢ,原以為勝券在握，卻因一時疏忽，竟從雲端「栽」了下來：ㄘㄞˊ
S1415,T1415,有些唐傳奇故事是蒲松齡寫作的來源,找不到原型的篇章數不及全書的一半,全書能找到原型的作品大多是奇聞逸事,書中的短篇小說篇幅僅幾百甚至幾十字
S1416,T1416,所謂有志竟成，努力必能得到回報,得饒人處且饒人，你何必趕進殺絕,想到他的處境，我情不自盡地落淚,眼不見為靜，把雜物塞進櫃子就好
S1417,T1417,上片押平聲韻，下片轉押仄聲韻,上片寫景抒情，下片敘事兼論理,「碧波流不斷」將「遺恨濃」具體化,藉由「綠蕪」來反襯「桃李」的豔冶
S1418,T1418,荒蕪的農地,盛開的菊花,歸來的鴻漸,鴻漸的鄰居
S1419,T1419,這部電影的戰爭場面逼真，其慘烈不可名狀,他表面上雖然毫不在乎，但心裡卻不以為意,他的心情不言而喻，大家都不知他是喜是怒,長官對此事不置可否，讓下屬有明確的方向
S1420,T1420,太祖因多次陷害劉基而心存愧疚,太祖想以李善長替代劉基為丞相,劉基認為李善長調和諸將就像束小木,劉基認為李善長比自己適合擔任丞相
S1421,T1421,冠軍:阿根廷 亞軍:巴西 季軍:英格蘭,冠軍:荷蘭 亞軍:波蘭 季軍:澳大利亞,冠軍:法國 亞軍:西班牙 季軍:葡萄牙,冠軍:克羅埃西亞 亞軍:摩洛哥 季軍:塞內加爾
S1422,T1422,「吾」喜歡吃賣餅者的餅，日日光顧,賣餅者生意資本擴增後，工作更繁忙,「吾」喜歡賣餅者的歌聲，勸他以此招攬生意,賣餅者經濟狀況改善之後，就不想再繼續賣餅
S1423,T1423,駐地的久暫 >> 遠卒守塞:久居 募民屯戍:一歲而更,獲得的福利 >> 遠卒守塞:室屋、田器 募民屯戍:冬夏衣、廩食,對地勢的了解 >> 遠卒守塞:熟習 募民屯戍:不熟習,對胡人的心態 >> 遠卒守塞:畏懼 募民屯戍:不畏懼
S1424,T1424,范文正也曾揭發公卿的過錯,《碧雲騢》應非梅聖俞所作,魏泰因官運不亨而怨懟梅聖俞,《歸田錄》反對替賢者隱諱的筆法
S1425,T1425,若移至深海生活，可以延長生命,噴水嚇阻敵人，反而暴露藏身處,閉殼後像石頭，碰撞也不易破損,群體死亡前，會一起躺平晒太陽
S1426,T1426,以祖孫對話暗示不同世代價值觀的差異,以作者童年拾蛤經驗抒發對親人的懷念,藉北極圓蛤明彰顯生態永續發展的重要,藉公呆的形象比喻活到老學到老的態度
S1427,T1427,北上的路線應該在臺灣南部出海,北上的路線少畫了經由蘭嶼的這條,南下的路線不應該經由墾丁出海,南下的路線少畫了從中國來的這條
S1428,T1428,林相完整，雨量豐沛,地形獨特，容易識別,食物豐富，地形適合,氣候溫暖，適合繁殖
S1429,T1429,增加對白的比例可讓電影更有視覺效果,要看懂電影必須先學習視覺化寫作的技能,視覺化寫作可讓讀劇本的人較容易掌握情境,希區考克認為視覺化寫作是劇本最重要的部分
