id,year,type,subject,title,description,answer
T1101,111,單題,現代詩文閱讀單題,這張圖最可能在傳達下列何種訊息?,,D
T1102,111,單題,現代詩文閱讀單題,"根據這段對話,誰的做法或說法最恰當?","黃醫師的眼科診所開業,親友們登門慶賀。君翰帶來一方寫著「杏林之光」的匾額,聊表心意。思涵見狀馬上說:「如果寫『近悅遠來』更好。」偉同則說:「可是,我覺得『眾望所歸』更恰當。」最後嘉恩才說:「其實,『桃李芬芳』才是最合適的選擇。」",A
T1103,111,單題,現代詩文閱讀單題,這段文字的主旨最可能是下列何者?,"「臺灣原住民的布只有形制屬傳統或較現代的分別,像圓領的剪裁、鈕扣和棉布的使用等,都是受漢人的影響而來。泰雅族的貝珠鈴衣,是貝珠串底下加銅鈴裝飾,銅鈴也是和漢人交易而來。日治時代的原住民服裝,還出現以漢人棉布做底、日本布做袖口、原住民圖案做主要裝飾的混搭法。」",A
T1104,111,單題,現代詩文閱讀單題,下表中的「獸」字依序最可能為何種字體?,,B
T1105,111,單題,現代詩文閱讀單題,這段文字的主旨與下列何者最接近？,「過去賭客玩拉霸機時，需要把紙鈔塞進機器裡，所以會看見皮夾裡的鈔票越 來越少，能提醒自己適時收手。但現在他們用卡片玩拉霸機，卡片僅會記錄 他們的輸贏情況。賭客難以意識到自己正不斷輸錢，只能隱約記得花了多少 錢。」,D
T1106,111,單題,詞語,下列體育新聞的說明何者錯誤？,,C
T1107,111,單題,現代詩文閱讀單題,這段文字中的甲、 乙、丙、丁四處，何者最適合使用標點符號中的句號？,「敘述記憶是件難事。記憶是一個整體，敘述的時候必須選擇將它一片片的切 下，即使是一塊肉、一棵菜甲切下來後就再也拼不完整了，就算拼湊起來了乙 也只算是死的標本，生命已蕩然丙何況記憶大部分的時候更像一陣風，來無影 去無蹤的，要想將風片切下來，豈不完全是一場徒勞嗎丁」,C
T1108,111,單題,現代詩文閱讀單題,"下列關於故事中人物的敘述，何者最恰當？ 
",陸公嘗於市遇一佳硯，議價未定。既還邸，使門人往，以一金易歸。門 人持硯歸，公訝其不類。門人堅證其是。公曰：「向觀硯有鴝鵒眼，今何無 之？」答曰：「吾嫌其微凸，路遇石工，令磨而平之。」公大惋惜。,C
T1109,111,單題,標點符號,根據這段文字，下列 何者最接近作者的觀點？,"「美國有名男子在家中裝攝影機，24小時在網路上播放他的生活，因此成為 名人，甚且登上雜誌封面。這透露著有些人不再介意被窺視，甚至樂於被窺 視。人有時會覺得孤寂，希望被注意，讓人覺得自己很重要。那些被窺視的 人，既然知道鏡頭在哪裡，是否會有表演的性質呢？」
",B
T1110,111,單題,字義,下列 何者最能與這段文字的意旨相呼應？,「名不可以倖取也。天下之事，固有外似而中實不然者。倖其似而竊其名，非 不可以欺一時，然他日人即其似而求其真，則情現實吐，無不立敗。」,C
T1111,111,單題,古典詩文閱讀單題,下列 何者最能與這段文字的意旨相呼應？,"背包與健康
(一)重量:背包後背時,內容物的重量最好在體重10%以內,側背時則建議低於5%。
(二)背法:背包的背帶越短、靠身體越近,力量承受度越小,背起來越輕鬆。
(三)放法:最重的東西應放在背包中間,步行時比較不會影響身體的姿勢。",A
T1112,111,單題,現代詩文閱讀單題,"下列選項「」中的字,何組讀音相同?",,D
T1113,111,單題,現代詩文閱讀單題,"根據這段文字,作者不愛中菜西吃的原因最不可能包含下列何者?","「所謂中菜西吃,是將原本大盤共享且同桌擺放的宴席菜式,改為西餐般一人一份、一道道依序送上。但中菜向來比西菜更講究沸熱燙口,分開上菜後,熱度鑊氣全消。其次,拋卻一桌多道同食,享受各種味道交錯的樂趣。更嚴重的是,為了美觀便利,連烹調手法都起了變化。例如原本該整魚整肉整蔬大鍋蒸煮煨燉,卻改為小塊小盅個別處理,光這點就足以讓同冶一爐、渾然一體之味傷損逸散。」",C
